Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,conduc,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PH,Platform,Reactor_cycle,Reactor_phase,ReleaseDate,create_date,version,Sample Name,seq_methods,SRA Study,temp,timepoint,Description,organism,sample_title
SRR2917241,AMPLICON,566,10833332,PRJNA302180,SAMN04267766,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",7420977,MOTHUR,2015-01-27,4.47,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432449,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_50_R1.fastq.50,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.47,ILLUMINA,2,Startup,2015-11-18T00:00:00Z,2015-11-13T15:42:00Z,1,50,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.66,0.58,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917245,AMPLICON,566,15226116,PRJNA302180,SAMN04267770,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",10311063,MOTHUR,2015-01-30,3.08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432453,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_54_R1.fastq.54,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.63,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:44:00Z,1,54,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,24.79,3.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917246,AMPLICON,565,11829667,PRJNA302180,SAMN04267771,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8020301,MOTHUR,2015-01-31,3.15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432454,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_55_R1.fastq.55,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.61,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:43:00Z,1,55,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.11,4.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917247,AMPLICON,565,11947581,PRJNA302180,SAMN04267772,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8061673,MOTHUR,2015-01-31,3.20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432455,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_56_R1.fastq.56,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.60,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:44:00Z,1,56,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.71,4.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917250,AMPLICON,566,18799397,PRJNA302180,SAMN04267775,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",12738516,MOTHUR,2015-02-03,2.93,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432458,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_59_R1.fastq.59,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.64,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:43:00Z,1,59,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,28.45,7.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917253,AMPLICON,564,22498872,PRJNA302180,SAMN04267777,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",15254314,MOTHUR,2015-02-07,4.03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432461,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_61_R1.fastq.61,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.42,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:43:00Z,1,61,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,27.34,11.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917254,AMPLICON,564,15440848,PRJNA302180,SAMN04267778,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",10492017,MOTHUR,2015-02-08,3.91,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432462,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_62_R1.fastq.62,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.50,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:44:00Z,1,62,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,25.05,12.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917257,AMPLICON,564,9540436,PRJNA302180,SAMN04267781,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",6553431,MOTHUR,2015-02-12,4.22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432465,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_65_R1.fastq.65,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.41,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,65,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.70,16.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917258,AMPLICON,563,23938775,PRJNA302180,SAMN04267782,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",16338467,MOTHUR,2015-02-13,4.11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432466,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_66_R1.fastq.66,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.42,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,66,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,27.21,17.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917261,AMPLICON,564,17165516,PRJNA302180,SAMN04267785,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",11706731,MOTHUR,2015-02-18,4.71,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432469,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_69_R1.fastq.69,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.35,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,69,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,27.68,22.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917263,AMPLICON,564,10634029,PRJNA302180,SAMN04267786,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",7341486,MOTHUR,2015-02-19,4.85,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432471,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_70_R1.fastq.70,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.33,ILLUMINA,2,Operation,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,70,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,28.73,23.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917266,AMPLICON,562,13982158,PRJNA302180,SAMN04267789,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",9553659,MOTHUR,2015-02-23,2.77,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432474,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_73_R1.fastq.73,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.65,ILLUMINA,2,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,73,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.30,27.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917267,AMPLICON,562,18231248,PRJNA302180,SAMN04267790,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",12447697,MOTHUR,2015-02-24,2.36,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432475,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_74_R1.fastq.74,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.68,ILLUMINA,2,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,74,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,16.88,28.48,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917270,AMPLICON,562,11203450,PRJNA302180,SAMN04267793,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",7670077,MOTHUR,2015-02-27,1.67,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432478,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_77_R1.fastq.77,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.73,ILLUMINA,2,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,77,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,15.48,31.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917271,AMPLICON,561,15522651,PRJNA302180,SAMN04267794,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",10617405,MOTHUR,2015-03-03,1.36,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432479,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_78_R1.fastq.78,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.79,ILLUMINA,2,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,78,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,14.89,35.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917273,AMPLICON,562,12156516,PRJNA302180,SAMN04267795,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8355602,MOTHUR,2015-03-02,1.36,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432481,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_87_R1.fastq.87,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.80,ILLUMINA,2,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,87,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,15.05,34.42,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917200,AMPLICON,566,5803957,PRJNA302180,SAMN04271261,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",4036405,MOTHUR,2014-11-14,2.88,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432408,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_10_R1.fastq.10,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.62,ILLUMINA,1,Startup,2015-11-18T00:00:00Z,2015-11-13T15:41:00Z,1,10A,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,29.41,0.08,,,
SRR2917201,AMPLICON,566,7819288,PRJNA302180,SAMN04271262,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",5344318,MOTHUR,2014-11-14,3.67,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432409,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_11_R1.fastq.11,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.51,ILLUMINA,1,Startup,2015-11-18T00:00:00Z,2015-11-13T15:40:00Z,1,11A,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,30.44,0.17,,,
SRR2917202,AMPLICON,566,16230890,PRJNA302180,SAMN04271263,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",10834684,MOTHUR,2014-11-14,4.6,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432410,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_12_R1.fastq.12,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.42,ILLUMINA,1,Startup,2015-11-18T00:00:00Z,2015-11-13T15:40:00Z,1,12A,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,28.72,0.25,,,
SRR2917203,AMPLICON,564,3428147,PRJNA302180,SAMN04271264,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",2323422,MOTHUR,2014-11-14,4.39,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432411,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_13_R1.fastq.13,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.73,ILLUMINA,1,Startup,2015-11-18T00:00:00Z,2015-11-13T15:40:00Z,1,13A,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,27.89,0.42,,,
